issuer_justetf,isin,name_justetf,category,note,justetf_url
21Shares,CH1210548892,21shares Staking Basket Index ETP,candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=CH1210548892
American Century / Avantis,IE0000EA7C44,Avantis Global Small Cap Value UCITS ETF I-USD ACC ETF,live_profile_outside_provider_menu,Live JustETF profile; institutional share class listed only on SIX in USD; requires a scope decision.,https://www.justetf.com/en/etf-profile.html?isin=IE0000EA7C44
Franklin Templeton,IE000GTF7GF4,Franklin FTSE Emerging Markets UCITS ETF Dist,candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000GTF7GF4
iShares,DE0002635265,iShares Pfandbriefe UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0002635265
iShares,DE0002635273,iShares DivDAX UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0002635273
iShares,DE0002635281,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0002635281
iShares,DE0002635299,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0002635299
iShares,DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0002635307
iShares,DE0005933949,iShares STOXX Europe 600 Top 20 UCITS ETF (DE) EUR (Dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933949
iShares,DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933956
iShares,DE0005933964,iShares SLI UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933964
iShares,DE0005933972,iShares TecDAX UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933972
iShares,DE0005933980,iShares STOXX Europe Large 200 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933980
iShares,DE0005933998,iShares STOXX Europe Mid 200 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0005933998
iShares,DE0006289382,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289382
iShares,DE0006289390,iShares Dow Jones Industrial Average UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289390
iShares,DE0006289465,iShares eb.rexx Government Germany UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289465
iShares,DE0006289473,iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289473
iShares,DE0006289481,iShares eb.rexx Government Germany 2.5-5.5yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289481
iShares,DE0006289499,iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE0006289499
iShares,DE000A0D8Q07,iShares EURO STOXX UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0D8Q07
iShares,DE000A0D8Q23,iShares ATX UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0D8Q23
iShares,DE000A0D8Q31,iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0D8Q31
iShares,DE000A0D8Q49,iShares Dow Jones US Select Dividend UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0D8Q49
iShares,DE000A0D8QZ7,iShares STOXX Europe Small 200 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0D8QZ7
iShares,DE000A0F5UE8,iShares Dow Jones China Offshore 50 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0F5UE8
iShares,DE000A0F5UF5,iShares Nasdaq 100 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0F5UF5
iShares,DE000A0F5UG3,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0F5UG3
iShares,DE000A0F5UH1,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0F5UH1
iShares,DE000A0H0744,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0H0744
iShares,DE000A0H0785,iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0H0785
iShares,DE000A0H08D2,iShares Nikkei 225 UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0H08D2
iShares,DE000A0Q4R69,iShares DAX ESG UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0Q4R69
iShares,DE000A0Q4RZ9,iShares eb.rexx Government Germany 0-1yr UCITS ETF (DE),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A0Q4RZ9
iShares,DE000A2QP323,iShares TecDAX® UCITS ETF (DE) EUR (Dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A2QP323
iShares,DE000A2QP380,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A2QP380
iShares,DE000A2QP4B6,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A2QP4B6
iShares,DE000A2QP4C4,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A2QP4C4
iShares,DE000A2QP4F7,iShares STOXX Global Select Dividend 100 UCITS ETF (DE) EUR Hedged (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=DE000A2QP4F7
iShares,IE000IR2DEM6,iShares U.S. Aerospace & Defence UCITS ETF USD (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000IR2DEM6
iShares,IE000XGYMCA8,iShares USD EM Bond UCITS ETF EUR Hedged (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000XGYMCA8
iShares,IE00B8J37J31,iShares MSCI Japan CHF Hedged UCITS ETF (Acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE00B8J37J31
iShares,IE00BD8PH067,iShares USD Treasury Bond 20+ UCITS ETF CHF Hedged (Dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE00BD8PH067
JPMorgan,IE00005YSIA4,JPMorgan Japan Research Enhanced Index Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE00005YSIA4
JPMorgan,IE0001A541Y3,JPMorgan Japan Research Enhanced Index Equity Active UCITS ETF JPY (acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0001A541Y3
JPMorgan,IE000245C884,JPMorgan Global Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000245C884
JPMorgan,IE0002UMVXQ1,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0002UMVXQ1
JPMorgan,IE0003JSNHV9,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0003JSNHV9
JPMorgan,IE0003KQ8JX1,JPMorgan US Growth Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0003KQ8JX1
JPMorgan,IE0006UQKVQ0,JPMorgan Nasdaq Hedged Equity Laddered Overlay Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0006UQKVQ0
JPMorgan,IE000783LRG9,JPMorgan Eurozone Research Enhanced Index Equity Active UCITS ETF EUR (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000783LRG9
JPMorgan,IE0007ILCZU4,JPMorgan US Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0007ILCZU4
JPMorgan,IE00081SF8K7,JPMorgan EUR Government Bond Active UCITS ETF EUR (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE00081SF8K7
JPMorgan,IE0008QIFH42,JPMorgan EUR Aggregate Bond Active UCITS ETF EUR (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE0008QIFH42
JPMorgan,IE000A9QKUV7,JPMorgan Global Equity Multi-Factor UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000A9QKUV7
JPMorgan,IE000AGCIYE6,JPMorgan Global Aggregate Bond Active UCITS ETF EUR Hedged (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000AGCIYE6
JPMorgan,IE000AV35A01,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000AV35A01
JPMorgan,IE000BS9KP42,JPMorgan Emerging Markets Local Currency Bond Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000BS9KP42
JPMorgan,IE000CYGD0V1,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000CYGD0V1
JPMorgan,IE000DS9ZCL4,JPMorgan China A Research Enhanced Index Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000DS9ZCL4
JPMorgan,IE000DTA2ZH9,JPMorgan US Value Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000DTA2ZH9
JPMorgan,IE000FYTRRJ6,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000FYTRRJ6
JPMorgan,IE000HFXP0D2,JPMorgan Global Research Enhanced Index Equity Active UCITS ETF USD (dist),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000HFXP0D2
JPMorgan,IE000I5MBLC4,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),candidate_missing,Present in the current JustETF provider table; absent from the Rebalix export.,https://www.justetf.com/en/etf-profile.html?isin=IE000I5MBLC4
